@relation 'flight_data_new-weka.filters.unsupervised.attribute.Remove-R9-10,12-32,34-42-weka.filters.unsupervised.attribute.NumericToNominal-R8-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1'

@attribute DEP_DELAY numeric
@attribute TAXI_OUT numeric
@attribute TAXI_IN numeric
@attribute ACTUAL_ELAPSED_TIME numeric
@attribute DISTANCE numeric
@attribute WHEELS_OFF_elapse numeric
@attribute WHEELS_ON_elapse numeric
@attribute FLIGHT_STATUS {0,1}
@attribute OP_CARRIER_Delta_Airlines numeric
@attribute MONTH_Nov numeric

@data
-7,13,9,114,731,13,9,0,1,0
-4,12,5,251,2092,12,5,0,1,1
-7,12,5,112,669,12,5,0,1,1
-3,12,32,152,731,12,32,0,0,0
-1,20,9,117,606,20,9,0,0,0
-1,10,6,72,363,10,6,0,1,0
17,10,8,136,762,10,8,0,0,0
19,13,9,62,192,13,9,0,0,0
-7,15,7,79,357,15,7,0,1,0
5,17,6,65,259,17,6,0,1,0
-11,22,14,88,302,22,14,0,0,0
-6,18,11,74,223,18,11,0,1,0
3,23,9,93,404,23,9,0,1,0
4,11,11,130,874,11,11,0,1,1
-3,13,11,110,545,13,11,0,1,0
-5,12,11,83,404,12,11,0,1,1
-10,19,11,87,366,19,11,0,1,0
10,12,8,267,2172,12,8,0,1,0
-5,18,4,143,762,18,4,0,1,1
-5,13,11,75,317,13,11,0,1,0
-8,12,10,108,696,12,10,0,1,1
-1,10,2,133,946,10,2,0,0,0
-1,22,8,115,606,22,8,0,0,0
-2,15,11,113,594,15,11,0,0,0
7,10,10,112,696,10,10,0,1,0
2,19,10,137,762,19,10,0,0,0
-8,20,9,123,689,20,9,0,0,0
-7,34,12,74,83,34,12,0,0,0
-6,13,10,124,731,13,10,0,0,0
-8,15,8,158,903,15,8,0,0,0
-6,9,8,93,484,9,8,0,1,1
-4,17,7,153,946,17,7,0,1,0
6,12,6,100,481,12,6,0,1,0
-10,10,25,134,813,10,25,0,1,1
-4,10,13,131,813,10,13,0,1,0
-2,18,9,87,366,18,9,0,1,0
5,10,15,228,1547,10,15,0,0,0
-1,11,8,120,594,11,8,0,1,0
-3,9,5,86,432,9,5,0,1,0
-3,10,5,58,227,10,5,0,0,0
-7,12,5,104,547,12,5,0,1,0
-3,16,17,139,731,16,17,0,0,0
-3,15,6,135,762,15,6,0,0,1
-2,13,6,108,577,13,6,0,1,1
-6,12,6,107,606,12,6,0,0,0
-3,10,12,86,432,10,12,0,1,0
-5,12,11,122,689,12,11,0,0,0
-3,27,20,132,606,27,20,0,1,0
-8,13,10,98,515,13,10,0,1,0
31,13,7,97,581,13,7,0,0,0
-5,16,6,78,357,16,6,0,0,0
-4,22,7,102,481,22,7,0,1,0
-8,15,7,115,579,15,7,0,0,0
-3,13,7,132,762,13,7,0,1,0
-8,21,10,96,241,21,10,0,0,0
5,12,5,98,481,12,5,0,0,0
-11,23,9,170,946,23,9,0,1,0
-4,11,9,128,762,11,9,0,1,0
-8,21,7,63,164,21,7,0,1,1
0,14,11,50,106,14,11,0,1,0
2,25,9,98,404,25,9,0,1,0
7,14,6,96,547,14,6,0,1,0
-5,13,4,82,453,13,4,0,1,0
-6,20,10,79,332,20,10,0,1,0
-1,24,9,118,581,24,9,0,0,1
-6,15,11,141,606,15,11,0,0,0
-7,17,8,116,674,17,8,0,0,0
-1,11,8,81,357,11,8,0,1,0
0,13,6,82,432,13,6,0,1,0
-7,30,8,80,250,30,8,0,1,0
1,13,6,111,666,13,6,0,0,0
-1,11,9,223,1747,11,9,0,0,0
-8,13,7,124,669,13,7,0,1,0
-1,10,6,94,481,10,6,0,1,0
-3,11,12,124,577,11,12,0,0,0
-1,8,10,119,743,8,10,0,1,0
-9,30,13,98,341,30,13,0,1,0
-4,15,6,107,554,15,6,0,0,0
-5,16,8,47,106,16,8,0,1,0
-5,24,8,125,669,24,8,0,1,1
0,11,8,103,516,11,8,0,1,0
-4,14,12,76,270,14,12,0,1,0
-2,38,7,92,250,38,7,0,1,0
5,32,7,135,760,32,7,0,1,0
11,18,5,88,377,18,5,0,0,0
-2,15,9,140,907,15,9,0,1,0
-4,14,8,137,907,14,8,0,1,0
-2,14,6,57,214,14,6,0,0,0
-5,15,11,66,192,15,11,0,1,1
-5,20,13,83,352,20,13,0,1,0
-7,13,4,57,240,13,4,0,1,0
-5,19,6,123,508,19,6,0,0,0
-8,16,9,59,170,16,9,0,0,0
-2,11,6,55,214,11,6,0,0,0
-15,14,10,90,373,14,10,0,0,0
33,10,11,143,859,10,11,0,1,0
-2,28,11,81,134,28,11,0,1,0
-1,26,6,279,2182,26,6,0,1,0
-4,8,6,74,356,8,6,0,1,0
-4,28,9,161,746,28,9,0,0,1
8,15,7,142,859,15,7,0,1,0
-5,21,12,74,164,21,12,0,0,0
-1,16,11,141,907,16,11,0,1,0
-6,30,4,80,214,30,4,0,1,0
2,12,14,262,1947,12,14,0,1,0
5,17,5,260,2182,17,5,0,1,0
-5,11,11,73,227,11,11,0,0,0
-3,10,6,102,594,10,6,0,0,0
0,32,7,101,373,32,7,0,1,0
-12,13,6,44,106,13,6,0,0,0
-3,17,10,267,2182,17,10,0,0,0
-3,21,9,108,563,21,9,0,0,0
-4,13,8,83,306,13,8,0,1,0
-6,13,8,101,526,13,8,0,1,0
-4,22,10,157,746,22,10,0,0,0
-8,13,12,118,508,13,12,0,0,1
14,15,9,213,1747,15,9,0,0,0
-2,10,6,165,1199,10,6,0,1,0
-8,14,9,129,813,14,9,0,1,0
-4,16,12,229,1590,16,12,0,1,0
-3,25,4,133,762,25,4,0,1,0
1,22,11,153,666,22,11,0,1,0
-6,12,8,259,1919,12,8,0,1,0
1,8,9,85,404,8,9,0,0,0
-3,13,4,200,1587,13,4,0,1,0
-5,27,8,114,481,27,8,0,0,0
-8,13,10,80,304,13,10,0,0,0
-7,11,9,138,859,11,9,0,1,0
-7,13,5,85,447,13,5,0,1,0
2,12,7,75,332,12,7,0,1,0
6,24,5,157,946,24,5,0,1,0
6,7,4,109,696,7,4,0,0,0
0,15,9,110,581,15,9,0,1,0
-5,17,15,110,545,17,15,0,1,0
-8,10,4,67,366,10,4,0,1,0
9,10,14,123,721,10,14,0,0,0
-4,11,5,138,961,11,5,0,1,0
-10,11,9,114,696,11,9,0,1,0
-3,10,9,137,907,10,9,0,1,0
3,12,7,87,432,12,7,0,1,0
-4,11,9,113,620,11,9,0,1,0
-3,15,7,106,589,15,7,0,0,0
-4,14,4,54,214,14,4,0,1,0
-3,18,4,77,356,18,4,0,1,0
-1,31,5,168,762,31,5,0,0,0
-10,17,9,89,363,17,9,0,0,0
-3,8,7,125,874,8,7,0,1,0
-7,10,8,99,526,10,8,0,1,1
-1,20,5,81,356,20,5,0,0,0
23,12,19,94,373,12,19,0,1,1
3,10,6,53,134,10,6,0,1,0
2,7,11,232,1947,7,11,0,0,1
0,16,11,120,721,16,11,0,0,0
-6,11,12,75,300,11,12,0,0,0
-1,16,9,111,547,16,9,0,0,0
-7,16,14,108,515,16,14,0,1,1
0,27,8,140,760,27,8,0,1,0
23,11,9,107,577,11,9,0,0,0
-1,11,7,164,1282,11,7,0,1,0
-6,10,6,100,591,10,6,0,1,0
5,13,6,52,134,13,6,0,1,1
-6,18,8,133,762,18,8,0,1,0
1,20,7,137,762,20,7,0,1,0
-7,10,8,107,674,10,8,0,1,0
-7,16,5,66,227,16,5,0,0,0
-2,10,8,43,106,10,8,0,1,0
-3,28,11,116,533,28,11,0,0,0
0,12,5,101,545,12,5,0,1,1
-3,12,13,117,731,12,13,0,0,1
-1,17,8,122,565,17,8,0,0,0
-4,12,9,121,712,12,9,0,1,0
-6,14,8,51,106,14,8,0,0,0
1,10,7,85,447,10,7,0,0,0
-5,12,10,94,444,12,10,0,1,0
-9,21,7,76,306,21,7,0,1,0
-1,18,8,87,357,18,8,0,0,0
-1,14,10,122,731,14,10,0,0,0
-2,8,6,137,907,8,6,0,1,0
-6,9,7,109,645,9,7,0,1,0
-6,8,7,50,214,8,7,0,0,0
-2,14,11,116,577,14,11,0,0,0
-3,10,6,130,780,10,6,0,0,0
-7,14,8,107,594,14,8,0,1,0
-5,13,4,66,352,13,4,0,1,0
-6,21,10,122,689,21,10,0,1,0
-1,11,4,161,903,11,4,0,1,1
1,15,10,61,214,15,10,0,1,0
3,16,10,227,1547,16,10,0,1,0
0,9,8,52,147,9,8,0,0,0
12,18,7,129,821,18,7,0,1,0
-9,22,10,159,874,22,10,0,1,0
-2,13,10,131,907,13,10,0,1,0
-6,16,7,114,696,16,7,0,1,0
-5,15,10,127,545,15,10,0,1,1
-2,11,6,110,669,11,6,0,1,0
7,16,9,85,366,16,9,0,1,1
-7,24,8,106,317,24,8,0,1,0
1,8,7,96,526,8,7,0,0,0
-1,11,7,118,712,11,7,0,1,0
-1,9,5,263,2172,9,5,0,1,0
-2,20,8,122,620,20,8,0,1,0
-5,14,9,238,1947,14,9,0,0,0
-4,12,5,62,250,12,5,0,1,0
-7,20,12,80,238,20,12,0,0,0
-1,10,13,87,406,10,13,0,1,0
-1,10,6,87,484,10,6,0,0,0
-1,27,8,82,226,27,8,0,1,0
9,19,11,94,425,19,11,0,1,0
-3,14,8,127,762,14,8,0,1,0
-7,10,6,133,853,10,6,0,1,0
-9,13,9,89,448,13,9,0,0,0
19,14,4,50,153,14,4,0,1,0
-4,10,9,93,545,10,9,0,1,0
-3,14,13,115,594,14,13,0,0,0
-6,8,4,104,640,8,4,0,1,0
-4,14,8,62,164,14,8,0,0,0
-2,10,8,117,765,10,8,0,1,0
0,12,6,103,692,12,6,0,1,0
-3,12,8,106,594,12,8,0,1,0
6,17,8,79,332,17,8,0,1,0
-6,16,6,222,1587,16,6,0,1,0
-6,12,7,143,946,12,7,0,0,0
-5,18,6,112,594,18,6,0,1,0
-1,10,7,90,457,10,7,0,0,0
6,9,9,120,712,9,9,0,1,0
4,14,6,100,577,14,6,0,1,0
-8,17,10,90,317,17,10,0,1,1
-2,11,5,95,528,11,5,0,1,0
0,16,8,144,907,16,8,0,1,0
-2,19,7,143,907,19,7,0,1,0
-11,14,8,110,646,14,8,0,1,0
-4,27,11,116,547,27,11,0,1,0
-8,24,11,74,143,24,11,0,0,1
0,10,6,265,2092,10,6,0,1,0
0,12,9,115,782,12,9,0,1,1
-2,17,7,138,907,17,7,0,1,0
-3,14,9,76,317,14,9,0,1,0
-6,11,10,122,761,11,10,0,1,0
-5,13,8,77,357,13,8,0,1,0
-6,9,6,108,640,9,6,0,1,0
-2,17,9,96,406,17,9,0,1,1
-7,13,8,104,545,13,8,0,1,1
5,13,7,78,357,13,7,0,0,0
-1,9,7,165,946,9,7,0,1,0
1,14,3,124,813,14,3,0,1,0
-6,29,12,74,143,29,12,0,0,0
-6,16,11,220,1587,16,11,0,0,0
-7,16,11,98,442,16,11,0,1,0
-6,15,6,71,306,15,6,0,1,0
0,8,6,113,749,8,6,0,1,0
4,26,5,113,581,26,5,0,1,0
-4,10,5,104,566,10,5,0,0,0
-10,12,6,124,692,12,6,0,0,0
-3,15,6,113,692,15,6,0,1,1
-1,27,6,138,760,27,6,0,1,0
-3,20,6,107,581,20,6,0,0,0
-3,16,14,101,448,16,14,0,0,0
-3,14,7,101,508,14,7,0,0,0
-2,9,19,132,794,9,19,0,1,0
-7,17,5,64,250,17,5,0,1,0
-1,14,14,117,721,14,14,0,1,0
-5,9,4,86,481,9,4,0,0,0
0,16,9,125,606,16,9,0,0,0
-5,18,7,128,760,18,7,0,1,0
-10,11,6,94,589,11,6,0,0,0
-2,32,16,101,302,32,16,0,0,0
6,8,8,69,270,8,8,0,1,0
-8,10,11,95,500,10,11,0,0,1
-4,8,17,126,646,8,17,0,1,0
-9,15,9,95,481,15,9,0,1,0
-2,14,26,250,1947,14,26,0,1,0
-2,34,6,78,214,34,6,0,1,0
0,30,6,137,594,30,6,0,1,1
-1,15,7,149,961,15,7,0,1,0
-6,21,8,206,1590,21,8,0,1,1
-5,13,8,109,696,13,8,0,1,0
2,21,12,131,731,21,12,0,0,0
2,21,12,106,448,21,12,0,0,0
-2,27,6,120,689,27,6,0,0,0
-6,18,8,144,746,18,8,0,0,0
-7,29,7,75,214,29,7,0,1,0
8,21,5,494,4502,21,5,0,1,0
-5,18,15,94,404,18,15,0,0,0
0,15,24,127,666,15,24,0,0,0
-6,12,14,79,352,12,14,0,1,1
-13,12,3,94,526,12,3,0,1,0
-1,23,6,75,226,23,6,0,1,0
19,15,7,71,332,15,7,0,1,0
-3,10,9,109,640,10,9,0,1,0
-3,23,7,216,1590,23,7,0,1,0
-1,14,9,106,515,14,9,0,1,0
5,24,8,120,594,24,8,0,1,0
2,13,4,80,448,13,4,0,0,0
-2,10,12,86,484,10,12,0,0,0
-5,13,13,103,551,13,13,0,0,0
-3,11,5,117,594,11,5,0,1,0
3,15,7,133,746,15,7,0,0,0
-4,18,12,123,565,18,12,0,0,1
-6,15,9,136,760,15,9,0,1,1
-2,15,6,89,373,15,6,0,1,0
-3,14,6,133,907,14,6,0,1,0
-2,26,7,86,357,26,7,0,1,0
0,11,7,127,813,11,7,0,1,0
-2,15,5,105,566,15,5,0,0,0
2,9,4,253,2172,9,4,0,1,1
-5,20,23,262,1947,20,23,0,0,0
10,17,6,221,1747,17,6,0,0,0
-9,11,22,77,223,11,22,0,0,0
-8,12,6,128,794,12,6,0,1,0
-4,20,12,120,689,20,12,0,1,0
-2,11,15,70,250,11,15,0,1,0
-4,13,16,114,565,13,16,0,0,0
-7,24,6,61,151,24,6,0,1,0
-6,16,13,114,581,16,13,0,1,1
-3,13,6,165,1199,13,6,0,0,0
0,11,14,98,433,11,14,0,0,0
6,11,4,108,577,11,4,0,1,1
-8,16,10,96,481,16,10,0,1,0
0,18,22,100,404,18,22,0,1,0
13,13,10,58,147,13,10,0,0,0
-6,12,7,76,406,12,7,0,1,0
-10,22,9,141,780,22,9,0,0,0
2,12,11,142,874,12,11,0,1,0
-2,18,12,136,762,18,12,0,1,0
-8,17,9,73,302,17,9,0,0,1
-4,20,7,275,2172,20,7,0,1,0
-5,19,7,69,259,19,7,0,1,0
-4,15,7,60,192,15,7,0,1,0
-1,13,13,101,545,13,13,0,1,0
-3,11,7,115,594,11,7,0,0,0
-5,26,14,79,214,26,14,0,1,0
-3,12,6,69,341,12,6,0,1,0
0,19,10,157,762,19,10,0,1,1
-1,11,8,216,1587,11,8,0,1,0
-5,9,7,256,2172,9,7,0,1,0
-5,15,8,239,1587,15,8,0,1,0
-5,9,13,86,377,9,13,0,0,0
-5,21,6,162,903,21,6,0,1,0
-2,26,4,234,1747,26,4,0,0,0
-5,14,7,127,666,14,7,0,1,1
-1,34,6,148,762,34,6,0,1,0
-8,12,7,80,432,12,7,0,1,0
13,15,5,108,566,15,5,0,0,0
7,15,5,130,859,15,5,0,1,0
-7,33,12,153,762,33,12,0,0,0
1,19,7,143,746,19,7,0,0,0
-10,19,29,240,1587,19,29,0,0,0
9,10,5,63,250,10,5,0,1,0
-6,18,13,78,270,18,13,0,1,0
-4,11,10,65,240,11,10,0,1,0
-5,24,12,75,170,24,12,0,0,0
-3,10,5,101,761,10,5,0,1,0
